13:39:37.259 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60098 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:38.093 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60099 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:38.186 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60099 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:39.093 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60100 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:39.205 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60100 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:40.093 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60101 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:40.224 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60101 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:41.094 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60102 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:41.258 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60102 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:42.094 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60103 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:42.175 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60103 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:43.094 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60104 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:43.207 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60104 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:44.095 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60105 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:44.219 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60105 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:45.095 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60106 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:45.255 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60106 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:46.095 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60107 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:46.178 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60107 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:47.096 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60108 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:47.197 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60108 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:48.096 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60109 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:48.217 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60109 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:45:04.598 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60070 | Dst: 8080  | Bytes: 58    | MAX: 58    | Pld: Sin payload
13:45:04.626 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60070 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:53:42.338 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60051 | Dst: 8080  | Bytes: 58    | MAX: 58    | Pld: Sin payload
13:53:42.351 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60051 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:17.437 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60063 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:17.494 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60063 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:18.437 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60064 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:18.507 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60064 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:19.438 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60065 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:19.525 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60065 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:20.438 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60066 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:20.551 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60066 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:21.439 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60067 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:21.452 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60067 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:22.439 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60068 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:22.504 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60068 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:23.440 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60069 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:23.522 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60069 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:24.440 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60070 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:24.543 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60070 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:25.441 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60071 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:25.566 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60071 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:26.441 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60072 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:26.490 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60072 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:27.441 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60073 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:27.513 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60073 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:28.442 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60074 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:28.537 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60074 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:29.442 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60075 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:29.561 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60075 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:30.442 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60076 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:30.482 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60076 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:31.443 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60077 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:31.458 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60077 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:32.443 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60078 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:32.533 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60078 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:33.444 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60079 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:33.558 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60079 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:34.444 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60080 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:34.481 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60080 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:35.445 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60081 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:35.503 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60081 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:36.445 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60082 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:36.527 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60082 | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:37.445 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60083 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
13:59:37.551 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60083 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:13.970 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60042 | Dst: 8080  | Bytes: 58    | MAX: 58    | Pld: Sin payload
14:00:13.997 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60042 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:51.737 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60134 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:51.810 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60134 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:52.738 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60035 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:52.817 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60035 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:53.738 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60036 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:53.845 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60036 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:54.738 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60037 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:54.863 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60037 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:55.739 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60038 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:55.784 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60038 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:56.739 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60039 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:56.753 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60039 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:57.739 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60040 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:57.835 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60040 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:58.740 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60041 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:58.857 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60041 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:59.741 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60050 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:00:59.777 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60050 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:00.741 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60043 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:00.837 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60043 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:01.742 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60052 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:02.125 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60052 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:02.742 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60045 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:02.849 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60045 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:03.743 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60054 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:03.895 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60054 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:04.743 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60047 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:04.899 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60047 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:05.744 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60088 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:05.873 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60088 | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:06.744 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60049 | Dst: 8080  | Bytes: 54    | MAX: 58    | Pld: Sin payload
14:01:06.961 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60049 | Bytes: 54    | MAX: 58    | Pld: Sin payload
